,friends_in_dataset
rajdoye,30
TheSarahLeBlanc,9
davidaxelrod,6
ohmary11,5
Kush_Savani,3
NPR,0
SicK_cs,1
GermannStefan,0
Trans_NewYork,1
vikasbajaj,9
viziandrei,1
Chanakya_7,3
generativist,10
DevonNewport,0
traceyvincel,0
lisa_singh71,1
yogidholakia,7
mikeflannagan,0
allenthehun,3
sanjaysinghjdu,1
NeilNMukesh,2
mkverma001,3
rakakhashu,5
wpkofficial,0
sundeepkishan,6
rgruia,4
pushpanarayan,4
ipevo,0
synthetix_io,0
kathanmunshi,9
MominaMustehsan,1
Chitchitchit,1
AydenLincoln,3
ef_shiv,0
kittywenham,0
sahartwitt,0
_4Programmer,3
davewiner,9
UNDPDC,6
a_dc0h,1
GregGoralski,3
Indianbluebook,0
Sree_Vijaykumar,25
Anupam_Guha,1
anjali_damania,4
ArghaManna,1
chelsailama,3
abhishekaitc,0
dustinvtran,5
coL_Sottle,4
virendra79,6
UdailalAnjana,0
jaymendiratta,2
vinaykamat,20
