username,Acquaintance-Affinity-Identification Score AAI(j)
VNesH40YCnWRZng,0
NPR,0
SicK_cs,0
GermannStefan,0
DevonNewport,0
traceyvincel,0
lisa_singh71,0
mikeflannagan,0
allenthehun,0
wpkofficial,0
rgruia,0
ipevo,0
synthetix_io,0
Chitchitchit,0
ef_shiv,0
kittywenham,0
sahartwitt,0
a_dc0h,0
Indianbluebook,0
abhishekaitc,0
UdailalAnjana,0
