User ID,user_name,Twitter Account Duration(till 26/1/2020),Avg. Tweet Rate(per Month),Avg. Retweet Rate(per Month),Avg. Reply Rate(per Month),Avg. Fav Count(per Month),Avg. Retweeted Count(per Month),Avg. Quote Count(per Month),k-shell value
14429563,SmileyKeith,371505173.0,12.073,3.321,45.273,434.382,41946.636,3.6,14.4
61762271,alizecornet,330952472.0,22.398,7.602,7.267,4775.079,9366.775,2.597,14.4
366935179,stevenljoyce,264978741.0,25.73,6.895,14.583,574.284,370.676,2.5,14.4
70502952,mikeyfuntime,328243372.0,3.055,2.512,11.0,551.207,2986.793,1.885,14.4
817668451,jms_dot_py,232618540.0,101.833,124.833,312.667,1485.333,642009.0,76.5,14.4
756278,ChrisPirillo,409118334.0,131.375,137.5,135.25,2135.0,493867.375,47.625,14.4
4338481,alexisgallagher,403620626.0,40.769,7.833,201.923,1019.462,19365.538,32.231,14.4
295610884,ElinaSvitolina,275058318.0,11.65,9.43,2.419,7241.99,11446.981,3.418,14.4
12692452,anton_chuvakin,378709799.0,17.611,68.778,93.667,565.111,50369.333,8.556,14.4
27096905,abbiemann1982,341808898.0,23.042,30.125,82.083,702.48,22499.24,12.261,14.4
794329,davidkarp,407546451.0,1.0,1.5,1.5,484.8,162.3,0.0,14.4
375246970,OphirHarpaz,263708582.0,13.902,7.162,30.783,759.784,9038.294,6.61,14.4
588707774,LeslieUggams,242175688.0,11.491,6.393,2.838,363.731,2684.676,3.845,14.4
1928909924,TianaClarkPoet,199231759.0,18.375,17.0,167.438,2533.562,23609.812,15.571,14.4
32939851,pamfoundation,339923156.0,57.4,90.0,17.474,43967.8,57333.75,4.375,14.4
20002401,RepSteveIsrael,346302870.0,36.944,7.433,2.12,785.028,8934.528,5.074,14.4
2549031829,kate_manne,177977747.0,51.545,62.636,180.273,32395.545,78138.273,30.909,14.4
108654496,RuthCadbury,315472201.0,82.929,104.357,44.357,2140.929,54023.0,60.643,14.4
1543121,DanielMiessler,405665142.0,41.087,34.136,67.261,2496.826,135467.13,8.455,14.4
16290599,beccadax,358551553.0,11.24,84.44,31.96,195.44,541419.92,27.12,14.4
1306312784,TheLewisTan,215644327.0,23.395,8.7,55.158,16903.632,16438.868,6.206,14.4
477802917,sianberry,252144694.0,48.0,504.8,119.25,11344.8,84106.6,155.4,14.4
275799277,ArleneFosterUK,278289705.0,27.446,29.304,2.217,6929.982,8694.232,8.648,14.4
29406343,citizencurran,340906939.0,57.5,47.562,97.5,1574.562,158570.062,42.938,14.4
