user_name,Twitter Account Duration(till 26/1/2020),Avg. Tweet Rate(per Month),Avg. Retweet Rate(per Month),Avg. Reply Rate(per Month),Total Normal Tweets,Total Retweets,Total Replies,Total Quotes,Avg. Fav Count(per Month),Avg. Retweeted Count(per Month),Avg. Quote Count(per Month)
SakshiMalik,117551832.0,9.833,3.541,2.333,531,131,35,136,13399.056,6674.537,4.25
_4Programmer,249826424.0,9.6,1.0,3.5,144,5,28,1,35.474,25.632,1.0
saloni_dilli,318944417.0,4.22,6.38,2.314,249,319,81,19,13.571,2137.871,1.462
johndoerr,344168266.0,6.85,2.5,1.429,685,145,40,20,159.262,833.206,1.538
aroonpurie,170099896.0,10.013,1.864,2.634,761,41,108,11,2082.0,949.039,1.222
Ronaldo,172468107.0,9.805,4.68,9.375,402,117,75,12,7480.478,2695.065,1.333
J_Gomez97,230960330.0,4.97,2.409,3.577,328,106,93,78,22486.014,3316.414,1.902
BotJunkie,337276100.0,37.655,12.309,9.843,2071,677,502,464,320.127,9920.545,8.593
ipriyanksharmaa,270526492.0,15.96,11.667,2.304,798,315,53,301,15427.72,2328.26,7.718
PhilFoden,117267528.0,6.312,7.529,3.143,303,256,88,67,55321.963,6624.889,2.233
rush2yyz,283875080.0,2.667,7.924,2.553,144,626,120,148,10.457,16217.685,3.364
davutgoksu,266478800.0,36.385,7.133,17.5,473,107,210,9,14345.067,3348.667,1.5
AshokMaruthi,287241520.0,14.95,3.6,1.684,598,108,32,6,0.949,2022.102,1.0
Gupta_ReenaG,321545296.0,13.228,15.852,2.918,1045,1284,178,459,30.28,21501.915,6.851
pksidharth10,308616013.0,15.018,2.5,3.1,1652,40,93,5,1.655,287.814,1.667
AbizaidAlfie,84747534.0,44.211,121.579,3.938,840,2310,63,1219,369.0,609794.526,64.158
DhanyaThoppil,334908958.0,4.688,9.051,1.714,150,353,12,74,1.951,10066.146,7.4
svenphilipsen,231418208.0,5.42,3.355,4.429,374,104,155,13,26.784,521.486,1.182
devonpj,337600539.0,14.424,8.475,3.44,1327,517,172,143,21.724,65549.541,2.804
gringreen,347289711.0,50.0,15.462,55.407,1350,402,1496,684,804.815,30453.222,25.333
migueldeicaza,406607865.0,73.667,43.333,966.0,221,130,2898,257,18708.0,60227.0,85.667
Ajitessh,131197688.0,6.0,11.742,1.889,150,364,17,11,8.537,3339.122,1.222
pHatScoop,294933943.0,42.353,8.0,14.1,720,64,141,0,0.294,1326.412,0.0
LievSchreiber,249852954.0,10.063,4.191,13.226,956,285,1111,26,2717.908,8820.082,1.529
Sagnaofficial,283947985.0,6.837,2.175,5.312,629,87,170,4,3314.427,1020.625,1.0
essarpetrolpump,123244361.0,23.533,3.583,10.431,1412,86,605,29,196.883,185.783,2.417
MarketsHill,83819745.0,0.0,1598.5,0.0,0,3197,0,59,0.0,62374.0,29.5
bpkFEARLESS,238680141.0,12.636,1.833,1.545,556,22,17,5,16.188,53.812,1.25
mcl5tech,228692244.0,9.774,10.357,2.551,518,725,125,43,5.101,12067.152,2.263
Joe_Nye,318726454.0,5.403,1.883,2.4,670,113,84,159,149.325,384.563,3.786
ajayghayal,319056800.0,86.378,0.0,1.333,3196,0,4,0,0.865,0.162,0.0
sushmarajput12,110142245.0,2.0,66.765,9.0,4,1135,63,102,2.765,34161.353,8.5
fpfmusic,326010932.0,5.32,4.03,5.508,516,270,347,6,73.33,1321.791,1.2
NallagatlaPRao7,101387401.0,7.0,1.0,8.958,308,2,215,10,5.133,39.311,1.667
MagnusCarlsen,340587091.0,5.75,1.615,1.983,690,63,117,112,6028.27,604.23,3.111
Gary_Kirsten,274184412.0,3.415,6.112,1.727,321,489,57,40,1157.451,981.353,1.379
jeanwanwan,206320004.0,35.091,5.857,256.636,386,41,2823,81,99703.909,25909.636,7.364
begusgasper,274193358.0,10.803,8.46,17.536,659,423,491,219,85.868,4179.426,9.522
stratechery,217782796.0,7.179,1.0,1.625,682,4,13,3,436.042,192.621,1.0
TheBeerAnkur,323889332.0,4.157,4.057,3.293,370,357,191,83,86.18,7024.369,2.184
Meenzaa1805,259999765.0,4.852,3.719,2.827,262,238,147,122,2.075,15983.888,3.297
patcummins30,245688586.0,6.311,2.686,3.353,568,188,171,84,1754.776,491.153,2.4
