user_name,Twitter Account Duration(till 26/1/2020),Avg. Tweet Rate(per Month),Avg. Retweet Rate(per Month),Avg. Reply Rate(per Month),Total Normal Tweets,Total Retweets,Total Replies,Total Quotes,Avg. Fav Count(per Month),Avg. Retweeted Count(per Month),Avg. Quote Count(per Month)
katecrawford,346331874.0,9.758,7.183,32.864,644,431,2169,224,2643.939,12129.212,3.733
kate_manne,177977747.0,51.545,62.636,180.273,567,689,1983,340,32395.545,78138.273,30.909
KathleenOssip,272975135.0,15.662,8.167,20.528,1159,588,1478,192,221.12,39291.547,3.556
katyperry,344823244.0,60.8,3.923,4.682,3040,102,103,407,706743.26,137496.76,8.479
KDTrey5,339115524.0,13.306,5.022,22.194,1304,452,1487,160,101420.529,34688.265,3.556
KelliAgodon,339969088.0,53.615,66.462,128.692,697,864,1673,357,4306.769,272727.154,27.462
kennygfrederick,231855765.0,2.667,1024.667,50.333,8,3074,151,466,154.333,650441.333,155.333
KeshaRose,342154323.0,31.011,3.018,5.727,2822,166,252,81,84004.527,19963.429,2.793
KevinHart4real,343605449.0,79.312,22.483,1.538,2538,652,20,779,192406.594,24150.062,24.344
kevinmitnick,369963981.0,26.571,6.068,10.0,2046,443,740,200,2625.325,3881.584,3.175
KikiMladenovic,232036562.0,21.0,25.952,3.188,1386,1635,153,208,9462.621,4941.212,3.852
KimCattrall,334916387.0,21.889,10.667,40.933,985,416,1842,475,7849.222,19298.844,12.838
KimDotcom,239944589.0,57.871,28.871,31.824,1794,895,541,483,45610.0,144751.548,16.1
KingJames,343640047.0,29.986,10.507,5.467,2189,725,328,1198,1277799.795,285418.247,18.431
kiocsgoo,213406571.0,26.343,4.433,17.727,1765,266,1170,73,15752.284,4060.478,1.825
KllyVe,151668080.0,9.0,3.31,12.8,612,192,832,60,134.93,5348.394,1.538
KostiaKoval,238693255.0,23.8,4.524,64.857,833,95,2270,134,95.135,7545.378,5.583
KP24,299836388.0,80.25,18.2,105.625,1284,273,1690,202,296734.188,35389.688,12.625
KrisAllen,334036924.0,20.859,16.338,8.533,1481,1160,512,114,1127.7,1120.562,3.931
kristenwiigorg,254301404.0,9.189,21.99,3.645,827,2221,113,40,121.618,6943.765,1.667
Kris_Boulton,299051944.0,15.657,26.306,47.27,548,947,1749,354,127.135,12490.73,9.833
KumarSanga2,267277622.0,10.178,8.072,17.485,1201,557,1189,147,14674.39,3267.712,2.94
kwamealexander,345971160.0,26.319,27.326,15.978,1237,1257,735,485,3679.872,17073.596,10.543
kylemooney,337916566.0,7.985,3.045,7.679,1062,268,837,101,659.66,1946.553,2.349
kyle_abraham_,135576573.0,17.311,20.703,5.482,1056,1325,307,220,32.794,35936.206,5.116
ladygaga,373425732.0,27.377,8.514,6.726,2108,630,417,382,967110.727,245372.831,6.367
lamelaza_7,232597251.0,17.89,15.651,4.744,1467,1299,370,32,3880.256,2208.86,1.391
LanceUlanoff,405686886.0,287.5,17.5,236.667,1725,105,1420,404,7004.333,49691.833,67.333
laypay,334030542.0,14.682,56.565,69.0,323,1301,1587,333,1122.304,62072.13,15.857
LBardugo,342902988.0,27.333,6.773,88.692,738,149,2306,521,42227.259,17101.63,19.296
LeaderHoyer,344339219.0,153.062,22.688,28.933,2449,363,434,341,15774.188,32195.0,21.312
leah_moo,263390490.0,32.24,24.12,73.12,806,603,1828,281,297.44,37018.48,11.24
LegoJames,291088760.0,10.464,29.875,17.418,586,1673,958,495,134.661,48634.464,9.0
lennyzeltser,369179511.0,16.603,14.26,13.658,1212,1041,997,317,656.945,2202.63,4.594
LeoDiCaprio,308541347.0,8.298,11.193,1.333,1087,1220,20,176,49110.22,24444.235,3.259
LeslieUggams,242175688.0,11.491,6.393,2.838,1241,537,193,223,363.731,2684.676,3.845
LewisHamilton,290625091.0,21.073,3.25,3.286,864,117,92,58,409449.349,41490.0,2.0
LiamFox,247659144.0,28.85,49.2,5.81,1154,1968,122,301,4444.525,6692.325,7.921
LisaKudrow,283816006.0,7.733,10.264,8.544,812,934,581,48,3960.179,1373.974,1.5
Louis_Tomlinson,323794909.0,17.894,2.507,13.088,1861,188,1191,44,2883982.781,1292317.076,1.467
LoveTinaTurner,189693343.0,3.717,2.95,1.0,171,59,2,7,5849.42,1205.62,1.167
lraitt,332730835.0,46.767,38.3,22.967,1403,1149,689,917,14492.333,30361.433,30.567
luchogarcia14,288431934.0,27.419,2.811,8.181,2358,208,679,531,22257.616,7339.116,6.808
LuisCessaMx,295849525.0,7.832,8.968,8.97,791,834,888,77,1251.984,4138.087,2.139
LuisSuarez9,290671434.0,11.678,1.125,1.188,1413,18,19,34,114775.091,22566.81,1.478
LukeMillerWLAN,154489631.0,14.945,3.7,9.143,1091,185,640,4,12.919,401.203,1.0
Lurn,187047572.0,45.52,5.826,78.72,1138,134,1968,60,21377.6,45517.56,2.857
lvojvodich,339877373.0,26.556,18.155,2.25,1912,1289,36,911,86.181,12986.639,13.014
LynnMelnick,189593250.0,28.357,37.107,48.107,794,1039,1347,378,806.25,39777.679,13.5
